year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette
2021,https://nlftp.mlit.go.jp/ksj/gml/data/P14/P14-21/P14-21_code_pref_GML.zip,P14-21_code_pref_GML.zip,P14-21_code_pref.shp,P14-21_code_pref.geojson,SHP,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P14-v2_1.html,P14_005,01 02 03 04 05 06 99,保護施設 老人福祉施設 障害者支援施設等 身体障害者社会参加支援施設 児童福祉施設等 母子・父子福祉施設 その他の社会福祉施設等,#1B9E77 #D95F02 #7570B3 #E7298A #66A61E #E6AB02 #A6761D
2015,https://nlftp.mlit.go.jp/ksj/gml/data/P14/P14-15/P14-15_code_pref_GML.zip,P14-15_code_pref_GML.zip,P14-15_code_pref.shp,,P14-15_code_pref,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P14.html,P14_005,16011 19001 19002 19003 19004 19007 19008 19009 19010 19012 19013 19014,幼稚園 老人福祉施設 老人憩の家 老人休養ホーム 有料老人ホーム 身体障害者更生援護施設 児童福祉施設 知的障害者援護施設 精神障害者社会復帰施設 その他の社会福祉施設 保育所 へき地保育所,#1B9E77 #D95F02 #D95F02 #D95F02 #D95F02 #E7298A #66A61E #7570B3 #7570B3 #A6761D #1B9E77 #1B9E77
2011,https://nlftp.mlit.go.jp/ksj/gml/data/P14/P14-11/P14-11_code_pref_GML.zip,P14-11_code_pref_GML.zip,P14_code_pref.shp,,P14-11_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P14.html,P14_005,16011 19001 19002 19003 19004 19007 19008 19009 19010 19012 19013 19014,幼稚園 老人福祉施設 老人憩の家 老人休養ホーム 有料老人ホーム 身体障害者更生援護施設 児童福祉施設 知的障害者援護施設 精神障害者社会復帰施設 その他の社会福祉施設 保育所 へき地保育所,#1B9E77 #D95F02 #D95F02 #D95F02 #D95F02 #E7298A #66A61E #7570B3 #7570B3 #A6761D #1B9E77 #1B9E77
