year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette
2021,https://nlftp.mlit.go.jp/ksj/gml/data/A31/A31-21/A31-21_code_pref_GML.zip,A31-21_code_pref_GML.zip,01_*/SHP/A31-10-21_code_pref*.shp,,A31-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A31-v3_0.html,A31_105,1 2 3 4 5 6,0m以上0.5m未満 0.5m以上3.0m未満 3.0m以上5.0m未満 5.0m以上10.0m未満 10.0m以上20.0m未満 20.0m以上,#F7F5A9 #FFD8C0 #FFB7B7 #FF9191 #F285C9 #DC7ADC
2020,https://nlftp.mlit.go.jp/ksj/gml/data/A31/A31-20/A31-20_code_pref_GML.zip,A31-20_code_pref_GML.zip,01_*/SHP/A31-10-20_code_pref*.shp ,,A31-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A31-v2_2.html,A31_105,1 2 3 4 5 6,0m以上0.5m未満 0.5m以上3.0m未満 3.0m以上5.0m未満 5.0m以上10.0m未満 10.0m以上20.0m未満 20.0m以上,#F7F5A9 #FFD8C0 #FFB7B7 #FF9191 #F285C9 #DC7ADC
2012,https://nlftp.mlit.go.jp/ksj/gml/data/A31/A31-12/A31-12_code_pref_GML.zip,A31-12_code_pref_GML.zip,A31-12_code_pref.shp,,A31-12_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A31.html,,,,
