year,url,zip,shp,geojson,altdir,source
2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-21/L03-a-21_code_mesh-jgd2011_GML.zip,L03-a-21_code_mesh-jgd2011_GML.zip,L03-a-21_code_mesh.shp,L03-a-21_code_mesh.geojson,L03-a-21_code_mesh-jgd2011_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-a-v3_1.html
2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_code_mesh-jgd_GML.zip,L03-a-16_code_mesh-jgd_GML.zip,L03-a-16_code_mesh.shp,L03-a-16_code_mesh.geojson,L03-a-16_code_mesh-jgd_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-a.html
2014,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_code_mesh-jgd_GML.zip,L03-a-14_code_mesh-jgd_GML.zip,L03-a-14_code_mesh.shp,L03-a-14_code_mesh.geojson,L03-a-14_code_mesh-jgd_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-a.html
2009,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_code_mesh-jgd_GML.zip,L03-a-09_code_mesh-jgd_GML.zip,L03-a-09_code_mesh.shp,L03-a-09_code_mesh.geojson,L03-a-09_code_mesh-jgd_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-a.html
2006,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_code_mesh-jgd_GML.zip,L03-a-06_code_mesh-jgd_GML.zip,L03-a-06_code_mesh-jgd_TertiaryLandUseMesh.shp,L03-a-06_code_mesh.geojson,L03-a-06_code_mesh-jgd_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-a.html
1997,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-97/L03-a-97_code_mesh_GML.zip,L03-a-97_code_mesh_GML.zip,L03-a-97_code_mesh_TertiaryLandUseMesh.shp,,L03-a-97_code_mesh_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-a.html
1991,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-91/L03-a-91_code_mesh_GML.zip,L03-a-91_code_mesh_GML.zip,L03-a-91_code_mesh_TertiaryLandUseMesh.shp,,L03-a-91_code_mesh_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-a.html
1987,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-87/L03-a-87_code_mesh_GML.zip,L03-a-87_code_mesh_GML.zip,L03-a-87_code_mesh_TertiaryLandUseMesh.shp,,L03-a-87_code_mesh_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-a.html
1976,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-76/L03-a-76_code_mesh_GML.zip,L03-a-76_code_mesh_GML.zip,L03-a-76_code_mesh_TertiaryLandUseMesh.shp,,L03-a-76_code_mesh_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-a.html
