year,url,zip,shp,geojson,altdir,source
2021,https://nlftp.mlit.go.jp/ksj/gml/data/P29/P29-21/P29-21_code_pref_GML.zip,P29-21_code_pref_GML.zip,P29-21_code_pref.shp,P29-21_code_pref.geojson,P29-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P29-v3_0.html
2013,https://nlftp.mlit.go.jp/ksj/gml/data/P29/P29-13/P29-13_code_pref.zip,P29-13_code_pref_GML.zip,P29-13_code_pref.shp,,P29-13_code_pref,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P29-v2_1.html
