year,url,zip,shp,geojson,altdir,source
2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b/L03-b-21/L03-b-21_code_mesh-jgd2011_GML.zip,L03-b-21_code_mesh-jgd2011_GML.zip,L03-b-21_code_mesh.shp,L03-b-21_code_mesh.geojson,L03-b-21_code_mesh-jgd2011_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b-v3_1.html
2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b/L03-b-16/L03-b-16_code_mesh-jgd_GML.zip,L03-b-16_code_mesh-jgd_GML.zip,L03-b-16_code_mesh.shp,,L03-b-16_code_mesh-jgd_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html
2014,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b/L03-b-14/L03-b-14_code_mesh-jgd_GML.zip,L03-b-14_code_mesh-jgd_GML.zip,L03-b-14_code_mesh.shp,,L03-b-14_code_mesh-jgd_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html
2009,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b/L03-b-09/L03-b-09_code_mesh-jgd_GML.zip,L03-b-09_code_mesh-jgd_GML.zip,L03-b-09_code_mesh.shp,,L03-b-09_code_mesh-jgd_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html
2006,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b/L03-b-06/L03-b-06_code_mesh-jgd_GML.zip,L03-b-06_code_mesh-jgd_GML.zip,L03-b-06_code_mesh-jgd_LandUseSubdivisionMesh.shp,,L03-b-06_code_mesh-jgd_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html
1997,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b/L03-b-97/L03-b-97_code_mesh_GML.zip,L03-b-97_code_mesh_GML.zip,L03-b-97_code_mesh_LandUseSubdivisionMesh.shp,,L03-b-97_code_mesh_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html
1991,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b/L03-b-91/L03-b-91_code_mesh_GML.zip,L03-b-91_code_mesh_GML.zip,L03-b-91_code_mesh_LandUseSubdivisionMesh.shp,,L03-b-91_code_mesh_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html
1987,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b/L03-b-87/L03-b-87_code_mesh_GML.zip,L03-b-87_code_mesh_GML.zip,L03-b-87_code_mesh_LandUseSubdivisionMesh.shp,,L03-b-87_code_mesh_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html
1976,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b/L03-b-76/L03-b-76_code_mesh_GML.zip,L03-b-76_code_mesh_GML.zip,L03-b-76_code_mesh_LandUseSubdivisionMesh.shp,,L03-b-76_code_mesh_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html
